Sentiment,Value
Acceptance,Positive
Accomplishment,Positive
Adoration,Positive
Affection,Neutral
Amazement,Positive
Ambivalence,Negative
Amusement,Positive
Anticipation,Neutral
Anxiety,Negative
Appreciation,Positive
Apprehensive,Neutral
Awe,Positive
Bad,Negative
Betrayal,Negative
Bitter,Neutral
Bitterness,Negative
Bittersweet,Positive
Blessed,Positive
Boredom,Neutral
Breakthrough,Positive
Calmness,Positive
Captivation,Neutral
Celestial Wonder,Neutral
Charm,Positive
Colorful,Neutral
Compassionate,Positive
Confident,Positive
Confusion,Neutral
Connection,Positive
Contemplation,Neutral
Contentment,Positive
Coziness,Neutral
Creative Inspiration,Positive
Creativity,Positive
Curiosity,Neutral
Darkness,Negative
Desolation,Negative
Despair,Negative
Desperation,Neutral
Disappointed,Negative
Disappointment,Negative
Dismissive,Neutral
DreamChaser,Positive
Ecstasy,Positive
Elation,Positive
Embarrassed,Neutral
Emotion,Positive
Empathetic,Neutral
Empowerment,Positive
Enchantment,Positive
Engagement,Neutral
Enjoyment,Positive
Envious,Neutral
Envy,Negative
Euphoria,Positive
Excitement,Positive
Exhaustion,Negative
Exploration,Positive
Fear,Neutral
Fearful,Neutral
FestiveJoy,Positive
Freedom,Positive
Free-spirited,Neutral
Friendship,Positive
Frustrated,Neutral
Frustration,Neutral
Fulfillment,Positive
Grandeur,Neutral
Gratitude,Positive
Happy,Positive
Harmony,Positive
Hate,Negative
Heartbreak,Negative
Heartwarming,Positive
Helplessness,Negative
Hope,Positive
Hopeful,Neutral
Imagination,Positive
Immersion,Neutral
Indifference,Neutral
InnerJourney,Neutral
Inspiration,Positive
Inspired,Positive
Intimidation,Negative
Intrigue,Neutral
Isolation,Neutral
Jealous,Negative
Jealousy,Neutral
Joy,Positive
JoyfulReunion,Positive
Kindness,Positive
Loneliness,Negative
Loss,Negative
LostLove,Neutral
Love,Positive
Marvel,Positive
Negative,Negative
Melancholy,Negative
Melodic,Neutral
Mesmerizing,Positive
Mindfulness,Neutral
Miscalculation,Neutral
Mischievous,Neutral
Nature's Beauty,Neutral
Neutral,Neutral
Numbness,Negative
Obstacle,Neutral
Ocean's Freedom,Neutral
Optimism,Positive
Overjoyed,Positive
Playful,Positive
PlayfulJoy,Positive
Positive,Positive
Positivity,Positive
Pressure,Negative
Pride,Positive
Reflection,Positive
Rejuvenation,Positive
Relief,Positive
Renewed Effort,Positive
Resentment,Negative
Resilience,Positive
Reverence,Positive
Sad,Negative
Sadness,Negative
Satisfaction,Positive
Serenity,Positive
Shame,Neutral
Solitude,Neutral
Sorrow,Neutral
Spark,Positive
Success,Positive
Surprise,Neutral
Tenderness,Positive
Thrill,Positive
Thrilling Journey,Neutral
Touched,Neutral
Whimsy,Neutral
Whispers of the Past,Neutral
Wonder,Positive
Wonderment,Positive
Yearning,Neutral
Zest,Positive
Admiration,Positive
Adrenaline,Neutral
Adventure,Neutral
Anger,Negative
Arousal,Positive
ArtisticBurst,Positive
Celebration,Positive
Challenge,Neutral
Compassion,Positive
Confidence,Positive
Culinary Adventure,Positive
CulinaryOdyssey,Positive
Dazzle,Positive
Determination,Positive
Devastated,Negative
Disgust,Negative
Elegance,Positive
EmotionalStorm,Neutral
Energy,Neutral
Enthusiasm,Positive
Envisioning History,Neutral
Grateful,Positive
Grief,Negative
Happiness,Positive
Heartache,Negative
Hypnotic,Neutral
Iconic,Positive
Journey,Neutral
Joy in Baking,Positive
Kind,Positive
Motivation,Positive
Nostalgia,Neutral
Overwhelmed,Negative
Pensive,Negative
Proud,Positive
Radiance,Positive
Regret,Negative
Romance,Positive
Ruins,Negative
Runway Creativity,Positive
Solace,Negative
Suffering,Negative
Suspense,Neutral
Sympathy,Neutral
Tranquility,Neutral
Triumph,Positive
Vibrancy,Positive
Winter Magic,Neutral
